name,gender,disciplines,country
TAZEGUL Servet,Male,Taekwondo,Türkiye
BABEL Vincent,Male,Taekwondo,Suriname
GOKTEKIN Yilmaz,Male,Artistic Gymnastics,Türkiye
NURI Tufan,Male,Artistic Gymnastics,Türkiye
GOJKOVIC Vladimir,Male,Water Polo,Montenegro
TOMAS Toni,Male,Taekwondo,Great Britain
LAURA Veljko,Male,Taekwondo,Croatia
MESAROV Dejan,Male,Taekwondo,Croatia
GALAMBOS Bence,Male,Taekwondo,Hungary
MARTON Luana,Female,Taekwondo,Hungary
SALIM Gergely,Male,Taekwondo,Hungary
SALIM Sharif Gergely,Male,Taekwondo,Hungary
MIKKONEN Suvi,Female,Taekwondo,Hungary
ROUSSEAUX Emile,Male,Volleyball,France
ANDRE Felix,Male,Volleyball,France
GAUTHIER Charles,Male,Volleyball,France
TOUPANE Jean Aime,Male,Basketball,France
MELAIN Catherine,Female,Basketball,France
GAUTIER David,Male,Basketball,France
HALIN Gregory,Male,Basketball,France
LEONARD Christophe,Male,Basketball,France
COLLET Vincent,Male,Basketball,France
DONNADIEU Pascal,Male,Basketball,France
ATKINSON Kenny,Male,Basketball,France
NELHOMME Ruddy,Male,Basketball,France
GOMIS Joseph,Male,Basketball,France
CIAMARRA Roberto,Male,Volleyball,France
GEILER Loic,Male,Volleyball,France
GIANI Andrea,Male,Volleyball,France
WENG Shih-Hang,Male,Artistic Gymnastics,Chinese Taipei
TSAI Heng-Cheng,Male,Artistic Gymnastics,Chinese Taipei
SANTARELLI Daniele,Male,Volleyball,Türkiye
FLISI Diego,Male,Volleyball,Türkiye
ZOTTA Andrea,Male,Volleyball,Türkiye
VATANSEVER Recep,Male,Volleyball,Türkiye
DARET Jerome,Male,Rugby Sevens,France
KRUMBHOLZ Olivier,Male,Handball,France
GARDILLOU Sebastien,Male,Handball,France
LEYNAUD Amandine,Female,Handball,France
GALKIN Evgeniy,Male,Artistic Gymnastics,Uzbekistan
ABDUSAMATOV Khusniddin,Male,Artistic Gymnastics,Uzbekistan
MWEMA Kevin,Male,Rugby Sevens,Kenya
AMONDE Andrew,Male,Rugby Sevens,Kenya
KISIA Louis,Male,Rugby Sevens,Kenya
HRUBESCH Horst,Male,Football,Germany
CARLSON Britta,Female,Football,Germany
FUCHS Michael,Male,Football,Germany
NOERENBERG Thomas,Male,Football,Germany
MUKHAMEDOVA Rano,Female,Rhythmic Gymnastics,Uzbekistan
VLASOVA Liliya,Female,Rhythmic Gymnastics,Uzbekistan
KHAN Pavel,Male,Taekwondo,Uzbekistan
RAFALOVICH Maksim,Male,Taekwondo,Uzbekistan
KHAN Vladimir,Male,Taekwondo,Uzbekistan
BAYKUZIYEV Jasur,Male,Taekwondo,Uzbekistan
PAKKAN Saim,Male,Volleyball,Serbia
NISHIIRI Toshihiro,Male,Football,Japan
IKEDA Futoshi,Male,Football,Japan
MIYAMOTO Tomomi,Female,Football,Japan
MENEZES Jude,Male,Hockey,Japan
OZAWA Kazuyuki,Male,Hockey,Japan
ERSIMSEK Ahmetcan,Male,Volleyball,Serbia
ROTHMAN Neville,Male,Hockey,Ireland
GELLE Noemi Katalin,Female,Rhythmic Gymnastics,Hungary
NAGANUMA Atsushi,Male,Water Polo,Japan
HAZUI Shota,Male,Water Polo,Japan
SHIOTA Yoshinori,Male,Water Polo,Japan
KAWAI Mayo,Female,Artistic Swimming,Japan
KASHIMA Tomoyo,Female,Artistic Swimming,Japan
NAKAJIMA Takako,Female,Artistic Swimming,Japan
KAPADZE Timur,Male,Football,Uzbekistan
CHIGODAEV Sergey,Male,Football,Uzbekistan
GILLE Guillaume,Male,Handball,France
MATHE Erick,Male,Handball,France
ALONSO TAPIA Rosendo,Male,Taekwondo,France
ALONSO TAPIA Gulsah,Female,Taekwondo,France
JUNG Woomin,Male,Taekwondo,France
WILLE Jonas,Male,Handball,Norway
EGE Steinar,Male,Handball,Norway
BOQUIST Martin,Male,Handball,Norway
OLSSON Mats,Male,Handball,Norway
HERGEIRSSON Thorir,Male,Handball,Norway
LARSEN Tonje,Female,Handball,Norway
JOERGENSEN Michael,Male,Taekwondo,Norway
DRASOCZKY Imre,Male,Artistic Gymnastics,Hungary
BRUUN Michael,Male,Handball,Denmark
JOERGENSEN Lars,Male,Handball,Denmark
KRONBORG Henrik,Male,Handball,Denmark
JACOBSEN Nikolaj,Male,Handball,Denmark
JENSEN Jesper,Male,Handball,Denmark
SOYEZ Frederic,Male,Hockey,France
SALA Ramon,Male,Hockey,France
LOMBI Jorge,Male,Hockey,France
SZUCS Robert,Male,Artistic Gymnastics,Hungary
TRENKA Janos,Male,Artistic Gymnastics,Hungary
HARVEY Mike,Male,Taekwondo,Great Britain
MAIZEROI Torann,Male,Taekwondo,Great Britain
MILLER Nelson,Male,Taekwondo,Great Britain
STAMPER Martin,Male,Taekwondo,Great Britain
POLJAKOVA Shanna,Female,Artistic Gymnastics,Germany
BELENKI Valeri,Male,Artistic Gymnastics,Germany
CATANOIU Grigore,Male,Artistic Gymnastics,Germany
BRYLOK Hubert,Male,Artistic Gymnastics,Germany
TEMME Kay,Male,Artistic Gymnastics,Germany
PFEFFER Camilla,Female,Rhythmic Gymnastics,Germany
RASKINA Yuliya,Female,Rhythmic Gymnastics,Germany
CAMICIOTTI Giacomo,Male,Artistic Gymnastics,Germany
DUNAVSKA MINEKOVA Kameliya,Female,Rhythmic Gymnastics,Germany
PARECKI Antoni Jerzy,Male,Handball,Japan
SNYMAN Philip,Male,Rugby Sevens,South Africa
LUCKAN Ghafoer,Male,Rugby Sevens,South Africa
GONZALEZ NUNEZ Arlen,Male,Taekwondo,Cuba
SHARABI Yechiam,Male,Taekwondo,Israel
BLECHER SIDOROVA Svetlana,Female,Artistic Swimming,Israel
ABDELRAHMAN Osama,Male,Taekwondo,Egypt
YOUSSEF Mohamed,Male,Taekwondo,Egypt
ZAITSEVA Olesia,Female,Artistic Swimming,Ukraine
SARTYNSKYI Gennadii,Male,Artistic Gymnastics,Ukraine
GORBACHEVA Iryna,Female,Artistic Gymnastics,Ukraine
KAIUKOVA Iuliia,Female,Artistic Gymnastics,Ukraine
DERYUGINA Iryna,Female,Rhythmic Gymnastics,Ukraine
BLOKHINA Iryna,Female,Rhythmic Gymnastics,Ukraine
KARDASH Maryna,Female,Rhythmic Gymnastics,Ukraine
