team,team_gender,country,discipline
RANKIREDDY Satwiksairaj / SHETTY Chirag,M,India,Badminton
HOKI Takuro / KOBAYASHI Yugo,M,Japan,Badminton
KANG Min Hyuk / SEO Seung Jae,M,Korea,Badminton
CHIA Aaron / SOH Wooi Yik,M,Malaysia,Badminton
JOMKOH Supak / KEDREN Kittinupong,M,Thailand,Badminton
LEE Yang / WANG Chi-Lin,M,Chinese Taipei,Badminton
CHIU Vinson / YUAN Joshua,M,United States,Badminton
MAPASA Setyana / YU Angela,W,Australia,Badminton
STOEVA Gabriela / STOEVA Stefani,W,Bulgaria,Badminton
LIU Sheng Shu / TAN Ning,W,China,Badminton
CHEN Qing Chen / JIA Yi Fan,W,China,Badminton
FRUERGAARD Maiken / THYGESEN Sara,W,Denmark,Badminton
LAMBERT Margot / TRAN Anne,W,France,Badminton
YEUNG Nga Ting / YEUNG Pui Lam,W,"Hong Kong, China",Badminton
RAHAYU Apriyani / RAMADHANTI Siti Fadia Silva,W,Indonesia,Badminton
CRASTO Tanisha / PONNAPPA Ashwini,W,India,Badminton
MATSUYAMA Nami / SHIDA Chiharu,W,Japan,Badminton
MATSUMOTO Mayu / NAGAHARA Wakana,W,Japan,Badminton
BAEK Ha Na / LEE So Hee,W,Korea,Badminton
KIM So Yeong / KONG Hee Yong,W,Korea,Badminton
TAN Pearly / THINAAH Muralitharan,W,Malaysia,Badminton
KITITHARAKUL Jongkolphan / PRAJONGJAI Rawinda,W,Thailand,Badminton
XU Annie / XU Kerry,W,United States,Badminton
MAMMERI Koceila / MAMMERI Tanina Violette,X,Algeria,Badminton
FENG Yan Zhe / HUANG Dong Ping,X,China,Badminton
ZHENG Si Wei / HUANG Ya Qiong,X,China,Badminton
CHRISTIANSEN Mathias / BOEJE Alexandra,X,Denmark,Badminton
GICQUEL Thom / DELRUE Delphine,X,France,Badminton
TANG Chun Man / TSE Ying Suet,X,"Hong Kong, China",Badminton
RIVALDY Rinov / MENTARI Pitha Haningtyas,X,Indonesia,Badminton
