name,gender,discipline,country,medal_type
Japan,M,Fencing,Japan,Gold Medal
Italy,M,Fencing,Italy,Silver Medal
France,M,Fencing,France,Bronze Medal
Scottie SCHEFFLER,M,Golf,United States,Gold Medal
Tommy FLEETWOOD,M,Golf,Great Britain,Silver Medal
MATSUYAMA Hideki,M,Golf,Japan,Bronze Medal
Francisca CROVETTO CHADID,W,Shooting,Chile,Gold Medal
Amber Jo RUTTER,W,Shooting,Great Britain,Silver Medal
Austen Jewell SMITH,W,Shooting,United States,Bronze Medal
Bobby FINKE,M,Swimming,United States,Gold Medal
Gregorio PALTRINIERI,M,Swimming,Italy,Silver Medal
Daniel WIFFEN,M,Swimming,Ireland,Bronze Medal
China,M,Swimming,China,Gold Medal
United States,M,Swimming,United States,Silver Medal
France,M,Swimming,France,Bronze Medal
United States,W,Swimming,United States,Gold Medal
Australia,W,Swimming,Australia,Silver Medal
China,W,Swimming,China,Bronze Medal
Sarah SJOESTROEM,W,Swimming,Sweden,Gold Medal
Meg HARRIS,W,Swimming,Australia,Silver Medal
ZHANG Yufei,W,Swimming,China,Bronze Medal
FAN Zhendong,M,Table Tennis,China,Gold Medal
Truls MOREGARD,M,Table Tennis,Sweden,Silver Medal
Felix LEBRUN,M,Table Tennis,France,Bronze Medal
Novak DJOKOVIC,M,Tennis,Serbia,Gold Medal
Carlos ALCARAZ,M,Tennis,Spain,Silver Medal
ERRANI/PAOLINI,W,Tennis,Italy,Gold Medal
ANDREEVA/SHNAIDER,W,Tennis,AIN,Silver Medal
BUCSA/SORRIBES TORMO,W,Tennis,Spain,Bronze Medal
Netherlands,M,3x3 Basketball,Netherlands,Gold Medal
France,M,3x3 Basketball,France,Silver Medal
Lithuania,M,3x3 Basketball,Lithuania,Bronze Medal
Germany,W,3x3 Basketball,Germany,Gold Medal
Spain,W,3x3 Basketball,Spain,Silver Medal
United States,W,3x3 Basketball,United States,Bronze Medal
OKA Shinnosuke,M,Artistic Gymnastics,Japan,Gold Medal
Angel BARAJAS,M,Artistic Gymnastics,Colombia,Silver Medal
ZHANG Boheng,M,Artistic Gymnastics,China,Bronze Medal
TANG Chia-Hung,M,Artistic Gymnastics,Chinese Taipei,Bronze Medal
ZOU Jingyuan,M,Artistic Gymnastics,China,Gold Medal
Illia KOVTUN,M,Artistic Gymnastics,Ukraine,Silver Medal
OKA Shinnosuke,M,Artistic Gymnastics,Japan,Bronze Medal
Alice D'AMATO,W,Artistic Gymnastics,Italy,Gold Medal
ZHOU Yaqin,W,Artistic Gymnastics,China,Silver Medal
Manila ESPOSITO,W,Artistic Gymnastics,Italy,Bronze Medal
Rebeca ANDRADE,W,Artistic Gymnastics,Brazil,Gold Medal
Simone BILES,W,Artistic Gymnastics,United States,Silver Medal
Ana BARBOSU,W,Artistic Gymnastics,Romania,Bronze Medal
Armand DUPLANTIS,M,Athletics,Sweden,Gold Medal
Sam KENDRICKS,M,Athletics,United States,Silver Medal
Emmanouil KARALIS,M,Athletics,Greece,Bronze Medal
Beatrice CHEBET,W,Athletics,Kenya,Gold Medal
Faith KIPYEGON,W,Athletics,Kenya,Silver Medal
Sifan HASSAN,W,Athletics,Netherlands,Bronze Medal
Keely HODGKINSON,W,Athletics,Great Britain,Gold Medal
Tsige DUGUMA,W,Athletics,Ethiopia,Silver Medal
Mary MORAA,W,Athletics,Kenya,Bronze Medal
Valarie ALLMAN,W,Athletics,United States,Gold Medal
FENG Bin,W,Athletics,China,Silver Medal
Sandra ELKASEVIC,W,Athletics,Croatia,Bronze Medal
Viktor AXELSEN,M,Badminton,Denmark,Gold Medal
Kunlavut VITIDSARN,M,Badminton,Thailand,Silver Medal
Zii Jia LEE,M,Badminton,Malaysia,Bronze Medal
AN Se Young,W,Badminton,Korea,Gold Medal
HE Bing Jiao,W,Badminton,China,Silver Medal
Finn BUTCHER,M,Canoe Slalom,New Zealand,Gold Medal
Joseph CLARKE,M,Canoe Slalom,Great Britain,Silver Medal
Noah HEGGE,M,Canoe Slalom,Germany,Bronze Medal
Noemie FOX,W,Canoe Slalom,Australia,Gold Medal
Angele HUG,W,Canoe Slalom,France,Silver Medal
Kimberley WOODS,W,Canoe Slalom,Great Britain,Bronze Medal
Great Britain,W,Cycling Track,Great Britain,Gold Medal
New Zealand,W,Cycling Track,New Zealand,Silver Medal
Germany,W,Cycling Track,Germany,Bronze Medal
LI Yuehong,M,Shooting,China,Gold Medal
CHO Yeongjae,M,Shooting,Korea,Silver Medal
WANG Xinjie,M,Shooting,China,Bronze Medal
Italy 1,X,Shooting,Italy,Gold Medal
United States 1,X,Shooting,United States,Silver Medal
China,X,Shooting,China,Bronze Medal
Kauli VAAST,M,Surfing,France,Gold Medal
Jack ROBINSON,M,Surfing,Australia,Silver Medal
Gabriel MEDINA,M,Surfing,Brazil,Bronze Medal
Caroline MARKS,W,Surfing,United States,Gold Medal
Tatiana WESTON-WEBB,W,Surfing,Brazil,Silver Medal
Johanne DEFAY,W,Surfing,France,Bronze Medal
Germany,X,Triathlon,Germany,Gold Medal
United States,X,Triathlon,United States,Silver Medal
Great Britain,X,Triathlon,Great Britain,Bronze Medal
Cole HOCKER,M,Athletics,United States,Gold Medal
Josh KERR,M,Athletics,Great Britain,Silver Medal
Yared NUGUSE,M,Athletics,United States,Bronze Medal
Miltiadis TENTOGLOU,M,Athletics,Greece,Gold Medal
Wayne PINNOCK,M,Athletics,Jamaica,Silver Medal
Mattia FURLANI,M,Athletics,Italy,Bronze Medal
Gabrielle THOMAS,W,Athletics,United States,Gold Medal
Julien ALFRED,W,Athletics,Saint Lucia,Silver Medal
Brittany BROWN,W,Athletics,United States,Bronze Medal
Winfred YAVI,W,Athletics,Bahrain,Gold Medal
Peruth CHEMUTAI,W,Athletics,Uganda,Silver Medal
Faith CHEROTICH,W,Athletics,Kenya,Bronze Medal
Camryn ROGERS,W,Athletics,Canada,Gold Medal
Annette Nneka ECHIKUNWOKE,W,Athletics,United States,Silver Medal
ZHAO Jie,W,Athletics,China,Bronze Medal
Omari JONES,M,Boxing,United States,Bronze Medal
Lewis RICHARDSON,M,Boxing,Great Britain,Bronze Medal
Nazym KYZAIBAY,W,Boxing,Kazakhstan,Bronze Medal
Aira VILLEGAS,W,Boxing,Philippines,Bronze Medal
Kellie HARRINGTON,W,Boxing,Ireland,Gold Medal
YANG Wenlu,W,Boxing,China,Silver Medal
Janjaem SUWANNAPHENG,W,Boxing,Thailand,Bronze Medal
CHEN Nien Chin,W,Boxing,Chinese Taipei,Bronze Medal
Netherlands,M,Cycling Track,Netherlands,Gold Medal
Great Britain,M,Cycling Track,Great Britain,Silver Medal
Australia,M,Cycling Track,Australia,Bronze Medal
QUAN Hongchan,W,Diving,China,Gold Medal
CHEN Yuxi,W,Diving,China,Silver Medal
KIM Mi Rae,W,Diving,DPR Korea,Bronze Medal
Christian KUKUK,O,Equestrian,Germany,Gold Medal
Steve GUERDAT,O,Equestrian,Switzerland,Silver Medal
Maikel van der VLEUTEN,O,Equestrian,Netherlands,Bronze Medal
Arisa TREW,W,Skateboarding,Australia,Gold Medal
HIRAKI Cocona,W,Skateboarding,Japan,Silver Medal
Sky BROWN,W,Skateboarding,Great Britain,Bronze Medal
Mijain LOPEZ NUNEZ,M,Wrestling,Cuba,Gold Medal
Yasmani ACOSTA FERNANDEZ,M,Wrestling,Chile,Silver Medal
Amin MIRZAZADEH,M,Wrestling,IR Iran,Bronze Medal
MENG Lingzhe,M,Wrestling,China,Bronze Medal
FUMITA Kenichiro,M,Wrestling,Japan,Gold Medal
CAO Liguo,M,Wrestling,China,Silver Medal
Zholaman SHARSHENBEKOV,M,Wrestling,Kyrgyzstan,Bronze Medal
RI Se Ung,M,Wrestling,DPR Korea,Bronze Medal
Amit ELOR,W,Wrestling,United States,Gold Medal
Meerim ZHUMANAZAROVA,W,Wrestling,Kyrgyzstan,Silver Medal
Buse CAVUSOGLU TOSUN,W,Wrestling,Türkiye,Bronze Medal
OZAKI Nonoka,W,Wrestling,Japan,Bronze Medal
China,O,Artistic Swimming,China,Gold Medal
United States,O,Artistic Swimming,United States,Silver Medal
Spain,O,Artistic Swimming,Spain,Bronze Medal
MARTIN A/PEREZ M,X,Athletics,Spain,Gold Medal
PINTADO B/MOREJON G,X,Athletics,Ecuador,Silver Medal
COWLEY R/MONTAG J,X,Athletics,Australia,Bronze Medal
Soufiane EL BAKKALI,M,Athletics,Morocco,Gold Medal
Kenneth ROOKS,M,Athletics,United States,Silver Medal
Abraham KIBIWOT,M,Athletics,Kenya,Bronze Medal
Quincy HALL,M,Athletics,United States,Gold Medal
Matthew HUDSON-SMITH,M,Athletics,Great Britain,Silver Medal
Muzala SAMUKONGA,M,Athletics,Zambia,Bronze Medal
Roje STONA,M,Athletics,Jamaica,Gold Medal
Mykolas ALEKNA,M,Athletics,Lithuania,Silver Medal
Matthew DENNY,M,Athletics,Australia,Bronze Medal
Nina KENNEDY,W,Athletics,Australia,Gold Medal
Katie MOON,W,Athletics,United States,Silver Medal
Alysha NEWMAN,W,Athletics,Canada,Bronze Medal
Nelvie Raman TIAFACK,M,Boxing,Germany,Bronze Medal
Djamili-Dini ABOUDOU MOINDZE,M,Boxing,France,Bronze Medal
Erislandy ALVAREZ BORGES,M,Boxing,Cuba,Gold Medal
Sofiane OUMIHA,M,Boxing,France,Silver Medal
Oleksandr KHYZHNIAK,M,Boxing,Ukraine,Gold Medal
Nurbek ORALBAY,M,Boxing,Kazakhstan,Silver Medal
Esra YILDIZ KAHRAMAN,W,Boxing,Türkiye,Bronze Medal
Nesthy PETECIO,W,Boxing,Philippines,Bronze Medal
Australia,M,Cycling Track,Australia,Gold Medal
Great Britain,M,Cycling Track,Great Britain,Silver Medal
Italy,M,Cycling Track,Italy,Bronze Medal
United States,W,Cycling Track,United States,Gold Medal
New Zealand,W,Cycling Track,New Zealand,Silver Medal
Great Britain,W,Cycling Track,Great Britain,Bronze Medal
Matt WEARN,M,Sailing,Australia,Gold Medal
Pavlos KONTIDES,M,Sailing,Cyprus,Silver Medal
Stefano PESCHIERA,M,Sailing,Peru,Bronze Medal
Marit BOUWMEESTER,W,Sailing,Netherlands,Gold Medal
Anne-Marie RINDOM,W,Sailing,Denmark,Silver Medal
Line Flem HOEST,W,Sailing,Norway,Bronze Medal
Keegan PALMER,M,Skateboarding,Australia,Gold Medal
Tom SCHAAR,M,Skateboarding,United States,Silver Medal
Augusto AKIO,M,Skateboarding,Brazil,Bronze Medal
Aleksandra MIROSLAW,W,Sport Climbing,Poland,Gold Medal
DENG Lijuan,W,Sport Climbing,China,Silver Medal
Aleksandra KALUCKA,W,Sport Climbing,Poland,Bronze Medal
PARK Taejoon,M,Taekwondo,Korea,Gold Medal
Gashim MAGOMEDOV,M,Taekwondo,Azerbaijan,Silver Medal
Cyrian RAVET,M,Taekwondo,France,Bronze Medal
Mohamed Khalil JENDOUBI,M,Taekwondo,Tunisia,Bronze Medal
Panipak WONGPATTANAKIT,W,Taekwondo,Thailand,Gold Medal
GUO Qing,W,Taekwondo,China,Silver Medal
Mobina NEMATZADEH,W,Taekwondo,IR Iran,Bronze Medal
Lena STOJKOVIC,W,Taekwondo,Croatia,Bronze Medal
LI Fabin,M,Weightlifting,China,Gold Medal
Theerapong SILACHAI,M,Weightlifting,Thailand,Silver Medal
Hampton MORRIS,M,Weightlifting,United States,Bronze Medal
HOU Zhihui,W,Weightlifting,China,Gold Medal
Mihaela Valentina CAMBEI,W,Weightlifting,Romania,Silver Medal
Surodchana KHAMBAO,W,Weightlifting,Thailand,Bronze Medal
KUSAKA Nao,M,Wrestling,Japan,Gold Medal
Demeu ZHADRAYEV,M,Wrestling,Kazakhstan,Silver Medal
Malkhas AMOYAN,M,Wrestling,Armenia,Bronze Medal
Akzhol MAKHMUDOV,M,Wrestling,Kyrgyzstan,Bronze Medal
Mohammadhadi SARAVI,M,Wrestling,IR Iran,Gold Medal
Artur ALEKSANYAN,M,Wrestling,Armenia,Silver Medal
Gabriel Alejandro ROSILLO KINDELAN,M,Wrestling,Cuba,Bronze Medal
Uzur DZHUZUPBEKOV,M,Wrestling,Kyrgyzstan,Bronze Medal
Sarah Ann HILDEBRANDT,W,Wrestling,United States,Gold Medal
Yusneylis GUZMAN LOPEZ,W,Wrestling,Cuba,Silver Medal
SUSAKI Yui,W,Wrestling,Japan,Bronze Medal
FENG Ziqi,W,Wrestling,China,Bronze Medal
Grant HOLLOWAY,M,Athletics,United States,Gold Medal
Daniel ROBERTS,M,Athletics,United States,Silver Medal
Rasheed BROADBELL,M,Athletics,Jamaica,Bronze Medal
Letsile TEBOGO,M,Athletics,Botswana,Gold Medal
Kenneth BEDNAREK,M,Athletics,United States,Silver Medal
Noah LYLES,M,Athletics,United States,Bronze Medal
Arshad NADEEM,M,Athletics,Pakistan,Gold Medal
Neeraj CHOPRA,M,Athletics,India,Silver Medal
Anderson PETERS,M,Athletics,Grenada,Bronze Medal
Sydney McLAUGHLIN-LEVRONE,W,Athletics,United States,Gold Medal
Anna COCKRELL,W,Athletics,United States,Silver Medal
Femke BOL,W,Athletics,Netherlands,Bronze Medal
Tara DAVIS-WOODHALL,W,Athletics,United States,Gold Medal
Malaika MIHAMBO,W,Athletics,Germany,Silver Medal
Jasmine MOORE,W,Athletics,United States,Bronze Medal
Hasanboy DUSMATOV,M,Boxing,Uzbekistan,Gold Medal
Billal BENNAMA,M,Boxing,France,Silver Medal
Charlie SENIOR,M,Boxing,Australia,Bronze Medal
Javier IBANEZ DIAZ,M,Boxing,Bulgaria,Bronze Medal
CHANG Yuan,W,Boxing,China,Gold Medal
Hatice AKBAS,W,Boxing,Türkiye,Silver Medal
Caitlin PARKER,W,Boxing,Australia,Bronze Medal
Cindy Winner DJANKEU NGAMBA,W,Boxing,EOR,Bronze Medal
LIU/JI,M,Canoe Sprint,China,Gold Medal
CASADEI/TACCHINI,M,Canoe Sprint,Italy,Silver Medal
MORENO/DOMINGUEZ,M,Canoe Sprint,Spain,Bronze Medal
Germany,M,Canoe Sprint,Germany,Gold Medal
Australia,M,Canoe Sprint,Australia,Silver Medal
Spain,M,Canoe Sprint,Spain,Bronze Medal
New Zealand,W,Canoe Sprint,New Zealand,Gold Medal
Germany,W,Canoe Sprint,Germany,Silver Medal
Hungary,W,Canoe Sprint,Hungary,Bronze Medal
Benjamin THOMAS,M,Cycling Track,France,Gold Medal
Iuri LEITAO,M,Cycling Track,Portugal,Silver Medal
Fabio van den BOSSCHE,M,Cycling Track,Belgium,Bronze Medal
Ellesse ANDREWS,W,Cycling Track,New Zealand,Gold Medal
Hetty van de WOUW,W,Cycling Track,Netherlands,Silver Medal
Emma FINUCANE,W,Cycling Track,Great Britain,Bronze Medal
XIE Siyi,M,Diving,China,Gold Medal
WANG Zongyuan,M,Diving,China,Silver Medal
Osmar OLVERA IBARRA,M,Diving,Mexico,Bronze Medal
Morocco,M,Football,Morocco,Bronze Medal
Netherlands,M,Hockey,Netherlands,Gold Medal
Germany,M,Hockey,Germany,Silver Medal
India,M,Hockey,India,Bronze Medal
Sharon van ROUWENDAAL,W,Marathon Swimming,Netherlands,Gold Medal
Moesha JOHNSON,W,Marathon Swimming,Australia,Silver Medal
Ginevra TADDEUCCI,W,Marathon Swimming,Italy,Bronze Medal
VADLAU/MAEHR,X,Sailing,Austria,Gold Medal
OKADA/YOSHIOKA,X,Sailing,Japan,Silver Medal
DAHLBERG/KARLSSON,X,Sailing,Sweden,Bronze Medal
TITA/BANTI,X,Sailing,Italy,Gold Medal
MAJDALANI/BOSCO,X,Sailing,Argentina,Silver Medal
WILKINSON/DAWSON,X,Sailing,New Zealand,Bronze Medal
Eleanor ALDRIDGE,W,Sailing,Great Britain,Gold Medal
Lauriane NOLOT,W,Sailing,France,Silver Medal
Annelous LAMMERTS,W,Sailing,Netherlands,Bronze Medal
Veddriq LEONARDO,M,Sport Climbing,Indonesia,Gold Medal
WU Peng,M,Sport Climbing,China,Silver Medal
Sam WATSON,M,Sport Climbing,United States,Bronze Medal
Ulugbek RASHITOV,M,Taekwondo,Uzbekistan,Gold Medal
Zaid KAREEM,M,Taekwondo,Jordan,Silver Medal
LIANG Yushuai,M,Taekwondo,China,Bronze Medal
Edival PONTES,M,Taekwondo,Brazil,Bronze Medal
KIM Yujin,W,Taekwondo,Korea,Gold Medal
Nahid KIYANICHANDEH,W,Taekwondo,IR Iran,Silver Medal
Skylar PARK,W,Taekwondo,Canada,Bronze Medal
Alizadeh KIMIA,W,Taekwondo,Bulgaria,Bronze Medal
Rizki JUNIANSYAH,M,Weightlifting,Indonesia,Gold Medal
Weeraphon WICHUMA,M,Weightlifting,Thailand,Silver Medal
Bozhidar Dimitrov ANDREEV,M,Weightlifting,Bulgaria,Bronze Medal
LUO Shifang,W,Weightlifting,China,Gold Medal
Maude CHARRON,W,Weightlifting,Canada,Silver Medal
KUO Hsing-Chun,W,Weightlifting,Chinese Taipei,Bronze Medal
Saeid ESMAEILI LEIVESI,M,Wrestling,IR Iran,Gold Medal
Parviz NASIBOV,M,Wrestling,Ukraine,Silver Medal
Hasrat JAFAROV,M,Wrestling,Azerbaijan,Bronze Medal
Luis Alberto ORTA SANCHEZ,M,Wrestling,Cuba,Bronze Medal
Semen Sergeevich NOVIKOV,M,Wrestling,Bulgaria,Gold Medal
Alireza MOHMADIPIANI,M,Wrestling,IR Iran,Silver Medal
Zhan BELENIUK,M,Wrestling,Ukraine,Bronze Medal
Turpal Ali BISULTANOV,M,Wrestling,Denmark,Bronze Medal
FUJINAMI Akari,W,Wrestling,Japan,Gold Medal
Lucia Yamileth YEPEZ GUZMAN,W,Wrestling,Ecuador,Silver Medal
CHOE Hyo Gyong,W,Wrestling,DPR Korea,Bronze Medal
PANG Qianyu,W,Wrestling,China,Bronze Medal
Canada,M,Athletics,Canada,Gold Medal
South Africa,M,Athletics,South Africa,Silver Medal
Great Britain,M,Athletics,Great Britain,Bronze Medal
Rai BENJAMIN,M,Athletics,United States,Gold Medal
Karsten WARHOLM,M,Athletics,Norway,Silver Medal
Alison dos SANTOS,M,Athletics,Brazil,Bronze Medal
Jordan Alejandro DIAZ FORTUN,M,Athletics,Spain,Gold Medal
Pedro PICHARDO,M,Athletics,Portugal,Silver Medal
Andy DIAZ HERNANDEZ,M,Athletics,Italy,Bronze Medal
Beatrice CHEBET,W,Athletics,Kenya,Gold Medal
Nadia BATTOCLETTI,W,Athletics,Italy,Silver Medal
Sifan HASSAN,W,Athletics,Netherlands,Bronze Medal
United States,W,Athletics,United States,Gold Medal
Great Britain,W,Athletics,Great Britain,Silver Medal
Germany,W,Athletics,Germany,Bronze Medal
Marileidy PAULINO,W,Athletics,Dominican Republic,Gold Medal
Salwa Eid NASER,W,Athletics,Bahrain,Silver Medal
Natalia KACZMAREK,W,Athletics,Poland,Bronze Medal
Yemisi OGUNLEYE,W,Athletics,Germany,Gold Medal
Maddison-Lee WESCHE,W,Athletics,New Zealand,Silver Medal
SONG Jiayuan,W,Athletics,China,Bronze Medal
ANA PATRICIA/DUDA,W,Beach Volleyball,Brazil,Gold Medal
MELISSA/BRANDIE,W,Beach Volleyball,Canada,Silver Medal
HUBERLI/BRUNNER,W,Beach Volleyball,Switzerland,Bronze Medal
Asadkhuja MUYDINKHUJAEV,M,Boxing,Uzbekistan,Gold Medal
Marco Alonso VERDE ALVAREZ,M,Boxing,Mexico,Silver Medal
Lazizbek MULLOJONOV,M,Boxing,Uzbekistan,Gold Medal
Loren Berto ALFONSO DOMINGUEZ,M,Boxing,Azerbaijan,Silver Medal
WU Yu,W,Boxing,China,Gold Medal
Buse Naz CAKIROGLU,W,Boxing,Türkiye,Silver Medal
Imane KHELIF,W,Boxing,Algeria,Gold Medal
YANG Liu,W,Boxing,China,Silver Medal
AMI,W,Breaking,Japan,Gold Medal
NICKA,W,Breaking,Lithuania,Silver Medal
671,W,Breaking,China,Bronze Medal
Martin FUKSA,M,Canoe Sprint,Czechia,Gold Medal
Isaquias QUEIROZ,M,Canoe Sprint,Brazil,Silver Medal
Serghei TARNOVSCHI,M,Canoe Sprint,Republic of Moldova,Bronze Medal
SCHOPF/LEMKE,M,Canoe Sprint,Germany,Gold Medal
NADAS/TOTKA,M,Canoe Sprint,Hungary,Silver Medal
van der WE/GREEN,M,Canoe Sprint,Australia,Bronze Medal
XU/SUN,W,Canoe Sprint,China,Gold Medal
LUZAN/RYBACHOK,W,Canoe Sprint,Ukraine,Silver Medal
MACKENZIE/VINCENT,W,Canoe Sprint,Canada,Bronze Medal
CARRINGTON/HOSKIN,W,Canoe Sprint,New Zealand,Gold Medal
CSIPES/GAZSO,W,Canoe Sprint,Hungary,Silver Medal
PASZEK/HAKE,W,Canoe Sprint,Germany,Bronze Medal
PUPP/FOJT,W,Canoe Sprint,Hungary,Bronze Medal
Harrie LAVREYSEN,M,Cycling Track,Netherlands,Gold Medal
Matthew RICHARDSON,M,Cycling Track,Australia,Silver Medal
Jack CARLIN,M,Cycling Track,Great Britain,Bronze Medal
Italy,W,Cycling Track,Italy,Gold Medal
Great Britain,W,Cycling Track,Great Britain,Silver Medal
Netherlands,W,Cycling Track,Netherlands,Bronze Medal
CHEN Yiwen,W,Diving,China,Gold Medal
Maddison KEENEY,W,Diving,Australia,Silver Medal
CHANG Yani,W,Diving,China,Bronze Medal
Spain,M,Football,Spain,Gold Medal
France,M,Football,France,Silver Medal
Germany,W,Football,Germany,Bronze Medal
Netherlands,W,Hockey,Netherlands,Gold Medal
China,W,Hockey,China,Silver Medal
Argentina,W,Hockey,Argentina,Bronze Medal
Kristof RASOVSZKY,M,Marathon Swimming,Hungary,Gold Medal
Oliver KLEMET,M,Marathon Swimming,Germany,Silver Medal
David BETLEHEM,M,Marathon Swimming,Hungary,Bronze Medal
Valentin BONTUS,M,Sailing,Austria,Gold Medal
Toni VODISEK,M,Sailing,Slovenia,Silver Medal
Maximilian MAEDER,M,Sailing,Singapore,Bronze Medal
Toby ROBERTS,M,Sport Climbing,Great Britain,Gold Medal
ANRAKU Sorato,M,Sport Climbing,Japan,Silver Medal
Jakob SCHUBERT,M,Sport Climbing,Austria,Bronze Medal
China,M,Table Tennis,China,Gold Medal
Sweden,M,Table Tennis,Sweden,Silver Medal
France,M,Table Tennis,France,Bronze Medal
Firas KATOUSSI,M,Taekwondo,Tunisia,Gold Medal
Mehran BARKHORDARI,M,Taekwondo,IR Iran,Silver Medal
Simone ALESSIO,M,Taekwondo,Italy,Bronze Medal
Edi HRNIC,M,Taekwondo,Denmark,Bronze Medal
Viviana MARTON,W,Taekwondo,Hungary,Gold Medal
Aleksandra PERISIC,W,Taekwondo,Serbia,Silver Medal
Kristina TEACHOUT,W,Taekwondo,United States,Bronze Medal
Sarah CHAARI,W,Taekwondo,Belgium,Bronze Medal
United States,M,Volleyball,United States,Bronze Medal
Karlos May NASAR,M,Weightlifting,Bulgaria,Gold Medal
Yeison LOPEZ,M,Weightlifting,Colombia,Silver Medal
Antonino PIZZOLATO,M,Weightlifting,Italy,Bronze Medal
Olivia REEVES,W,Weightlifting,United States,Gold Medal
Mari Leivis SANCHEZ,W,Weightlifting,Colombia,Silver Medal
Angie Paola PALACIOS DAJOMES,W,Weightlifting,Ecuador,Bronze Medal
HIGUCHI Rei,M,Wrestling,Japan,Gold Medal
Spencer Richard LEE,M,Wrestling,United States,Silver Medal
Aman AMAN,M,Wrestling,India,Bronze Medal
Gulomjon ABDULLAEV,M,Wrestling,Uzbekistan,Bronze Medal
Magomed Eldarovitch RAMAZANOV,M,Wrestling,Bulgaria,Gold Medal
Hassan YAZDANICHARATI,M,Wrestling,IR Iran,Silver Medal
Aaron Marquel BROOKS,M,Wrestling,United States,Bronze Medal
Dauren KURUGLIEV,M,Wrestling,Greece,Bronze Medal
SAKURAI Tsugumi,W,Wrestling,Japan,Gold Medal
Anastasia NICHITA,W,Wrestling,Republic of Moldova,Silver Medal
Helen Louise MAROULIS,W,Wrestling,United States,Bronze Medal
HONG Kexin,W,Wrestling,China,Bronze Medal
China,W,Artistic Swimming,China,Gold Medal
Great Britain,W,Artistic Swimming,Great Britain,Silver Medal
Netherlands,W,Artistic Swimming,Netherlands,Bronze Medal
United States,M,Athletics,United States,Gold Medal
Botswana,M,Athletics,Botswana,Silver Medal
Great Britain,M,Athletics,Great Britain,Bronze Medal
Jakob INGEBRIGTSEN,M,Athletics,Norway,Gold Medal
Ronald KWEMOI,M,Athletics,Kenya,Silver Medal
Grant FISHER,M,Athletics,United States,Bronze Medal
Emmanuel WANYONYI,M,Athletics,Kenya,Gold Medal
Marco AROP,M,Athletics,Canada,Silver Medal
Djamel SEDJATI,M,Athletics,Algeria,Bronze Medal
Hamish KERR,M,Athletics,New Zealand,Gold Medal
Shelby McEWEN,M,Athletics,United States,Silver Medal
Mutaz Essa BARSHIM,M,Athletics,Qatar,Bronze Medal
Tamirat TOLA,M,Athletics,Ethiopia,Gold Medal
Bashir ABDI,M,Athletics,Belgium,Silver Medal
Benson KIPRUTO,M,Athletics,Kenya,Bronze Medal
Masai RUSSELL,W,Athletics,United States,Gold Medal
Cyrena SAMBA-MAYELA,W,Athletics,France,Silver Medal
Jasmine CAMACHO-QUINN,W,Athletics,Puerto Rico,Bronze Medal
Faith KIPYEGON,W,Athletics,Kenya,Gold Medal
Jessica HULL,W,Athletics,Australia,Silver Medal
Georgia BELL,W,Athletics,Great Britain,Bronze Medal
United States,W,Athletics,United States,Gold Medal
Netherlands,W,Athletics,Netherlands,Silver Medal
Great Britain,W,Athletics,Great Britain,Bronze Medal
KITAGUCHI Haruka,W,Athletics,Japan,Gold Medal
Jo-Ane van DYK,W,Athletics,South Africa,Silver Medal
Nikola OGRODNIKOVA,W,Athletics,Czechia,Bronze Medal
United States,M,Basketball,United States,Gold Medal
France,M,Basketball,France,Silver Medal
Serbia,M,Basketball,Serbia,Bronze Medal
AHMAN/HELLVIG,M,Beach Volleyball,Sweden,Gold Medal
EHLERS/WICKLER,M,Beach Volleyball,Germany,Silver Medal
MOL/SORUM,M,Beach Volleyball,Norway,Bronze Medal
Bakhodir JALOLOV,M,Boxing,Uzbekistan,Gold Medal
Ayoub GHADFA DRISSI EL AISSAOUI,M,Boxing,Spain,Silver Medal
Abdumalik KHALOKOV,M,Boxing,Uzbekistan,Gold Medal
Munarbek SEIITBEK UULU,M,Boxing,Kyrgyzstan,Silver Medal
LIN Yu Ting,W,Boxing,Chinese Taipei,Gold Medal
Julia SZEREMETA,W,Boxing,Poland,Silver Medal
LI Qian,W,Boxing,China,Gold Medal
Atheyna Bibeichi BYLON,W,Boxing,Panama,Silver Medal
PHIL WIZARD,M,Breaking,Canada,Gold Medal
DANY DANN,M,Breaking,France,Silver Medal
VICTOR,M,Breaking,United States,Bronze Medal
Josef DOSTAL,M,Canoe Sprint,Czechia,Gold Medal
Adam VARGA,M,Canoe Sprint,Hungary,Silver Medal
Balint KOPASZ,M,Canoe Sprint,Hungary,Bronze Medal
Katie VINCENT,W,Canoe Sprint,Canada,Gold Medal
Nevin HARRISON,W,Canoe Sprint,United States,Silver Medal
Yarisleidis CIRILO DUBOYS,W,Canoe Sprint,Cuba,Bronze Medal
Lisa CARRINGTON,W,Canoe Sprint,New Zealand,Gold Medal
Tamara CSIPES,W,Canoe Sprint,Hungary,Silver Medal
Emma Aastrand JORGENSEN,W,Canoe Sprint,Denmark,Bronze Medal
Portugal,M,Cycling Track,Portugal,Gold Medal
Italy,M,Cycling Track,Italy,Silver Medal
Denmark,M,Cycling Track,Denmark,Bronze Medal
CAO Yuan,M,Diving,China,Gold Medal
TAMAI Rikuto,M,Diving,Japan,Silver Medal
Noah WILLIAMS,M,Diving,Great Britain,Bronze Medal
United States,W,Football,United States,Gold Medal
Brazil,W,Football,Brazil,Silver Medal
Lydia KO,W,Golf,New Zealand,Gold Medal
