name,gender,discipline,country,medal_type
Christa DEGUCHI,W,Judo,Canada,Gold Medal
HUH Mimi,W,Judo,Korea,Silver Medal
FUNAKUBO Haruka,W,Judo,Japan,Bronze Medal
Sarah Leonie CYSIQUE,W,Judo,France,Bronze Medal
SHENG Lihao,M,Shooting,China,Gold Medal
Victor LINDGREN,M,Shooting,Sweden,Silver Medal
Miran MARICIC,M,Shooting,Croatia,Bronze Medal
BAN Hyojin,W,Shooting,Korea,Gold Medal
HUANG Yuting,W,Shooting,China,Silver Medal
Audrey GOGNIAT,W,Shooting,Switzerland,Bronze Medal
HORIGOME Yuto,M,Skateboarding,Japan,Gold Medal
Jagger EATON,M,Skateboarding,United States,Silver Medal
Nyjah HUSTON,M,Skateboarding,United States,Bronze Medal
Thomas CECCON,M,Swimming,Italy,Gold Medal
XU Jiayu,M,Swimming,China,Silver Medal
Ryan MURPHY,M,Swimming,United States,Bronze Medal
David POPOVICI,M,Swimming,Romania,Gold Medal
Matthew RICHARDS,M,Swimming,Great Britain,Silver Medal
Luke HOBSON,M,Swimming,United States,Bronze Medal
Tatjana SMITH,W,Swimming,South Africa,Gold Medal
TANG Qianting,W,Swimming,China,Silver Medal
Mona Mc SHARRY,W,Swimming,Ireland,Bronze Medal
Mollie O'CALLAGHAN,W,Swimming,Australia,Gold Medal
Ariarne TITMUS,W,Swimming,Australia,Silver Medal
HAUGHEY Siobhan Bernadette,W,Swimming,"Hong Kong, China",Bronze Medal
Summer McINTOSH,W,Swimming,Canada,Gold Medal
Katie GRIMES,W,Swimming,United States,Silver Medal
Emma WEYANT,W,Swimming,United States,Bronze Medal
United States,W,Artistic Gymnastics,United States,Gold Medal
Italy,W,Artistic Gymnastics,Italy,Silver Medal
Brazil,W,Artistic Gymnastics,Brazil,Bronze Medal
Italy,W,Fencing,Italy,Gold Medal
France,W,Fencing,France,Silver Medal
Poland,W,Fencing,Poland,Bronze Medal
NAGASE Takanori,M,Judo,Japan,Gold Medal
